T,phi,F,day,tR_TP,tR_IP1,tR_IP2,Wh_TP,Wh_IP1,Wh_IP2
45,0.42,0.55,0,9.975,9.250,,,0.1605,
55,0.42,0.55,0,8.619,8.063,9.631,0.1717,,0.1975
45,0.42,0.65,0,8.392,8.127,9.525,0.1548,,0.1855
55,0.42,0.65,0,7.270,6.792,8.099,0.1393,,0.1601
45,0.48,0.55,0,4.720,4.422,5.452,0.0893,,0.1068
55,0.48,0.55,0,4.212,3.967,4.776,0.0888,0.0813,0.0917
45,0.48,0.65,0,3.968,3.708,4.568,0.0747,0.0798,0.0850
55,0.48,0.65,0,3.533,3.319,3.992,0.0764,,0.0762
41.59,0.45,0.6,0,6.452,6.001,7.450,0.1324,0.1118,0.1390
58.41,0.45,0.6,0,5.150,4.842,5.771,0.1266,0.0958,0.1099
50,0.45,0.5159,0,6.741,6.323,7.680,0.1253,0.1187,0.1475
50,0.45,0.6841,0,5.046,4.713,5.726,0.1101,0.0934,0.1062
50,0.39954,0.6,0,,,,,,
50,0.50046,0.6,0,3.317,3.117,3.792,0.0687,,0.0721
50,0.45,0.6,0,5.769,5.400,6.563,0.1107,0.0936,0.1230
50,0.45,0.6,0,5.775,5.406,6.572,0.1103,0.0948,0.1228
50,0.45,0.6,0,5.746,5.378,6.538,0.1098,0.0942,0.1228
50,0.45,0.6,0,5.776,5.404,6.568,0.1105,0.0946,0.1226
50,0.45,0.6,0,5.774,5.402,6.566,0.1118,0.0997,0.1220
50,0.45,0.6,0,5.783,5.414,6.582,0.1106,0.0946,0.1234
